code_insee,population,superficie,densite
02021,82,6.37,12.872841444270016
02022,401,26.43,15.172152856602345
02023,101,6.81,14.831130690161528
02024,49,5.57,8.797127468581687
02025,367,6.31,58.16164817749604
02027,210,8.04,26.11940298507463
02028,2597,15.44,168.19948186528498
02029,351,11.81,29.720575783234544
02030,254,2.11,120.37914691943129
02031,659,23.7,27.80590717299578
02032,254,3.72,68.27956989247312
02033,102,4.41,23.12925170068027
02034,122,5.66,21.554770318021202
02035,283,10.73,26.374650512581546
02036,70,2.6,26.923076923076923
02037,1380,10.01,137.86213786213787
02038,60,5.99,10.016694490818029
02039,174,9.15,19.01639344262295
02040,176,6.78,25.958702064896755
02041,815,3.55,229.5774647887324
02042,379,2.78,136.33093525179856
02043,64,2.21,28.959276018099548
02044,24,3.32,7.228915662650603
02046,557,11.38,48.94551845342706
02047,108,6.69,16.143497757847534
02048,131,8.05,16.273291925465838
02049,740,15.11,48.97418927862343
02050,320,7.63,41.93971166448231
02051,391,7.55,51.788079470198674
02052,132,7.03,18.776671408250355
02053,573,41.24,13.89427740058196
02054,532,13.62,39.06020558002937
02055,87,9.18,9.477124183006536
02056,180,5.41,33.271719038817004
02057,1411,21.73,64.93327197422917
02058,851,9.69,87.82249742002064
02059,2718,7.44,365.3225806451613
02060,255,7.51,33.95472703062583
02061,245,4.67,52.46252676659529
02062,136,6.72,20.238095238095237
02063,379,6.4,59.21875
02064,3762,4.53,830.4635761589403
02065,587,9.77,60.081883316274315
02066,193,6.81,28.340675477239355
02067,209,4.41,47.3922902494331
02068,85,5.2,16.346153846153847
02069,105,6.59,15.933232169954477
02070,441,16.56,26.6304347826087
02071,650,7.87,82.59212198221093
02072,183,4.98,36.74698795180723
02073,687,8.1,84.81481481481482
02074,592,7.46,79.35656836461126
02075,194,3.07,63.192182410423456
02076,153,4.48,34.15178571428571
02078,164,2.66,61.65413533834586
02079,147,15.86,9.26860025220681
02080,327,9.76,33.50409836065574
02081,432,4.3,100.46511627906978
02082,110,7.68,14.322916666666668
02083,751,15.66,47.956577266922096
02084,255,11.1,22.972972972972975
02085,1003,11.13,90.11680143755615
02086,999,7.73,129.23673997412678
02087,34,4.5,7.555555555555555
